,Signal_Num,Time_Interval,Wait_Time
0,1,0:00-1:00,0 days 00:59:03
1,1,1:00-2:00,0 days 00:59:19
2,1,2:00-3:00,0 days 00:59:36
3,1,3:00-4:00,0 days 00:59:43
4,1,4:00-5:00,0 days 00:59:23
5,1,5:00-6:00,0 days 00:58:43
6,1,6:00-7:00,0 days 00:56:54
7,1,7:00-8:00,0 days 00:54:12
8,1,8:00-9:00,0 days 00:52:41
9,1,9:00-10:00,0 days 00:53:22
10,1,10:00-11:00,0 days 00:52:36
11,1,11:00-12:00,0 days 00:52:11
12,1,12:00-13:00,0 days 00:51:14
13,1,13:00-14:00,0 days 00:51:33
14,1,14:00-15:00,0 days 00:51:17
15,1,15:00-16:00,0 days 00:50:58
16,1,16:00-17:00,0 days 00:51:14
17,1,17:00-18:00,0 days 00:51:22
18,1,18:00-19:00,0 days 00:53:05
19,1,19:00-20:00,0 days 00:57:29
20,1,20:00-21:00,0 days 00:59:02
21,1,21:00-22:00,0 days 00:59:25
22,1,22:00-23:00,0 days 00:58:28
23,1,23:00-24:00,0 days 00:59:24
24,2,0:00-1:00,0 days 00:28:40
25,2,1:00-2:00,0 days 00:19:20
26,2,2:00-3:00,0 days 00:17:00
27,2,3:00-4:00,0 days 00:19:23
28,2,4:00-5:00,0 days 00:22:47
29,2,5:00-6:00,0 days 00:25:31
30,2,6:00-7:00,0 days 00:27:57
31,2,7:00-8:00,0 days 00:33:41
32,2,8:00-9:00,0 days 00:35:56
33,2,9:00-10:00,0 days 00:34:04
34,2,10:00-11:00,0 days 00:36:14
35,2,11:00-12:00,0 days 00:36:55
36,2,12:00-13:00,0 days 00:45:56
37,2,13:00-14:00,0 days 00:37:26
38,2,14:00-15:00,0 days 00:37:53
39,2,15:00-16:00,0 days 00:38:12
40,2,16:00-17:00,0 days 00:38:13
41,2,17:00-18:00,0 days 00:38:07
42,2,18:00-19:00,0 days 00:36:19
43,2,19:00-20:00,0 days 00:29:41
44,2,20:00-21:00,0 days 00:29:18
45,2,21:00-22:00,0 days 00:26:07
46,2,22:00-23:00,0 days 00:27:03
47,2,23:00-24:00,0 days 00:27:24
48,3,0:00-1:00,0 days 00:59:48
49,3,1:00-2:00,0 days 00:59:17
50,3,2:00-3:00,0 days 00:59:31
51,3,3:00-4:00,0 days 00:59:36
52,3,4:00-5:00,0 days 00:59:02
53,3,5:00-6:00,0 days 00:59:06
54,3,6:00-7:00,0 days 00:58:10
55,3,7:00-8:00,0 days 00:55:22
56,3,8:00-9:00,0 days 00:54:18
57,3,9:00-10:00,0 days 00:55:45
58,3,10:00-11:00,0 days 00:54:08
59,3,11:00-12:00,0 days 00:53:38
60,3,12:00-13:00,0 days 00:44:45
61,3,13:00-14:00,0 days 00:53:18
62,3,14:00-15:00,0 days 00:52:54
63,3,15:00-16:00,0 days 00:52:50
64,3,16:00-17:00,0 days 00:52:58
65,3,17:00-18:00,0 days 00:53:05
66,3,18:00-19:00,0 days 00:53:38
67,3,19:00-20:00,0 days 00:57:40
68,3,20:00-21:00,0 days 00:57:51
69,3,21:00-22:00,0 days 00:58:30
70,3,22:00-23:00,0 days 00:58:59
71,3,23:00-24:00,0 days 00:58:41
72,4,0:00-1:00,0 days 00:35:58
73,4,1:00-2:00,0 days 00:45:33
74,4,2:00-3:00,0 days 00:47:26
75,4,3:00-4:00,0 days 00:45:28
76,4,4:00-5:00,0 days 00:42:40
77,4,5:00-6:00,0 days 00:39:01
78,4,6:00-7:00,0 days 00:38:47
79,4,7:00-8:00,0 days 00:37:09
80,4,8:00-9:00,0 days 00:36:16
81,4,9:00-10:00,0 days 00:37:03
82,4,10:00-11:00,0 days 00:37:04
83,4,11:00-12:00,0 days 00:36:20
84,4,12:00-13:00,0 days 00:37:49
85,4,13:00-14:00,0 days 00:37:47
86,4,14:00-15:00,0 days 00:36:53
87,4,15:00-16:00,0 days 00:37:44
88,4,16:00-17:00,0 days 00:37:35
89,4,17:00-18:00,0 days 00:36:18
90,4,18:00-19:00,0 days 00:37:01
91,4,19:00-20:00,0 days 00:36:37
92,4,20:00-21:00,0 days 00:36:08
93,4,21:00-22:00,0 days 00:39:24
94,4,22:00-23:00,0 days 00:38:39
95,4,23:00-24:00,0 days 00:38:34
96,5,0:00-1:00,0 days 00:59:03
97,5,1:00-2:00,0 days 00:59:19
98,5,2:00-3:00,0 days 00:59:36
99,5,3:00-4:00,0 days 00:59:43
100,5,4:00-5:00,0 days 00:59:23
101,5,5:00-6:00,0 days 00:58:43
102,5,6:00-7:00,0 days 00:56:54
103,5,7:00-8:00,0 days 00:54:12
104,5,8:00-9:00,0 days 00:52:41
105,5,9:00-10:00,0 days 00:53:22
106,5,10:00-11:00,0 days 00:52:36
107,5,11:00-12:00,0 days 00:52:11
108,5,12:00-13:00,0 days 00:51:14
109,5,13:00-14:00,0 days 00:51:33
110,5,14:00-15:00,0 days 00:51:17
111,5,15:00-16:00,0 days 00:50:58
112,5,16:00-17:00,0 days 00:51:14
113,5,17:00-18:00,0 days 00:51:22
114,5,18:00-19:00,0 days 00:53:05
115,5,19:00-20:00,0 days 00:57:29
116,5,20:00-21:00,0 days 00:59:02
117,5,21:00-22:00,0 days 00:59:25
118,5,22:00-23:00,0 days 00:58:28
119,5,23:00-24:00,0 days 00:59:24
120,6,0:00-1:00,0 days 00:28:40
121,6,1:00-2:00,0 days 00:19:20
122,6,2:00-3:00,0 days 00:17:00
123,6,3:00-4:00,0 days 00:19:23
124,6,4:00-5:00,0 days 00:22:47
125,6,5:00-6:00,0 days 00:25:31
126,6,6:00-7:00,0 days 00:27:57
127,6,7:00-8:00,0 days 00:33:41
128,6,8:00-9:00,0 days 00:35:56
129,6,9:00-10:00,0 days 00:34:04
130,6,10:00-11:00,0 days 00:36:14
131,6,11:00-12:00,0 days 00:36:55
132,6,12:00-13:00,0 days 00:45:56
133,6,13:00-14:00,0 days 00:37:26
134,6,14:00-15:00,0 days 00:37:53
135,6,15:00-16:00,0 days 00:38:12
136,6,16:00-17:00,0 days 00:38:13
137,6,17:00-18:00,0 days 00:38:07
138,6,18:00-19:00,0 days 00:36:19
139,6,19:00-20:00,0 days 00:29:41
140,6,20:00-21:00,0 days 00:29:18
141,6,21:00-22:00,0 days 00:26:07
142,6,22:00-23:00,0 days 00:27:03
143,6,23:00-24:00,0 days 00:27:24
144,7,0:00-1:00,0 days 00:59:48
145,7,1:00-2:00,0 days 00:59:17
146,7,2:00-3:00,0 days 00:59:31
147,7,3:00-4:00,0 days 00:59:36
148,7,4:00-5:00,0 days 00:59:02
149,7,5:00-6:00,0 days 00:59:06
150,7,6:00-7:00,0 days 00:58:10
151,7,7:00-8:00,0 days 00:55:22
152,7,8:00-9:00,0 days 00:54:18
153,7,9:00-10:00,0 days 00:55:45
154,7,10:00-11:00,0 days 00:54:08
155,7,11:00-12:00,0 days 00:53:38
156,7,12:00-13:00,0 days 00:44:45
157,7,13:00-14:00,0 days 00:53:18
158,7,14:00-15:00,0 days 00:52:54
159,7,15:00-16:00,0 days 00:52:50
160,7,16:00-17:00,0 days 00:52:58
161,7,17:00-18:00,0 days 00:53:05
162,7,18:00-19:00,0 days 00:53:38
163,7,19:00-20:00,0 days 00:57:40
164,7,20:00-21:00,0 days 00:57:51
165,7,21:00-22:00,0 days 00:58:30
166,7,22:00-23:00,0 days 00:58:59
167,7,23:00-24:00,0 days 00:58:41
168,8,0:00-1:00,0 days 00:35:58
169,8,1:00-2:00,0 days 00:45:33
170,8,2:00-3:00,0 days 00:47:26
171,8,3:00-4:00,0 days 00:45:28
172,8,4:00-5:00,0 days 00:42:40
173,8,5:00-6:00,0 days 00:39:01
174,8,6:00-7:00,0 days 00:38:47
175,8,7:00-8:00,0 days 00:37:09
176,8,8:00-9:00,0 days 00:36:16
177,8,9:00-10:00,0 days 00:37:03
178,8,10:00-11:00,0 days 00:37:04
179,8,11:00-12:00,0 days 00:36:20
180,8,12:00-13:00,0 days 00:37:49
181,8,13:00-14:00,0 days 00:37:47
182,8,14:00-15:00,0 days 00:36:53
183,8,15:00-16:00,0 days 00:37:44
184,8,16:00-17:00,0 days 00:37:35
185,8,17:00-18:00,0 days 00:36:18
186,8,18:00-19:00,0 days 00:37:01
187,8,19:00-20:00,0 days 00:36:37
188,8,20:00-21:00,0 days 00:36:08
189,8,21:00-22:00,0 days 00:39:24
190,8,22:00-23:00,0 days 00:38:39
191,8,23:00-24:00,0 days 00:38:34
